_id,airTemperature.quality,airTemperature.value,atmosphericPressureChange.quantity24Hours,atmosphericPressureChange.quantity3Hours,atmosphericPressureChange.tendency,atmosphericPressureObservation.altimeterSetting,atmosphericPressureObservation.stationPressure,callLetters,dataSource,dewPoint.quality,dewPoint.value,elevation,pastWeatherObservationManual,position.coordinates,position.type,precipitationEstimatedObservation.discrepancy,precipitationEstimatedObservation.estimatedWaterDepth,presentWeatherObservationManual,pressure.quality,pressure.value,qualityControlProcess,seaSurfaceTemperature.quality,seaSurfaceTemperature.value,sections,skyCondition.cavok,skyCondition.ceilingHeight,skyConditionObservation.highCloudGenus,skyConditionObservation.lowCloudGenus,skyConditionObservation.lowestCloudBaseHeight,skyConditionObservation.lowestCloudCoverage,skyConditionObservation.midCloudGenus,skyConditionObservation.totalCoverage,skyCoverLayer,st,ts,type,visibility.distance,visibility.variability,waveMeasurement.method,waveMeasurement.seaState,waveMeasurement.waves,wind.direction,wind.speed,wind.type
5553a99ae4b02cf715120af7,1,4.9,,,,,,SHIP,4,1,2.2,9999,"[{""atmosphericCondition"":{""value"":""0"",""quality"":""1""},""period"":{""value"":6,""quality"":""1""}}]","[1.5,51.8]",Point,1,0,"[{""condition"":""02"",""quality"":""1""}]",1,1025,V020,9,6.4,"[""AG1"",""AY1"",""GF1"",""MD1"",""MW1"",""SA1"",""UA1""]",N,,,,,,,,,x+51800+001500,1984-03-13T00:00:00.000Z,FM-13,,,M,,,,,N
5553a99ae4b02cf715120af8,1,27,,,,,,UWXJ,4,9,999.9,9999,"[{""atmosphericCondition"":{""value"":""0"",""quality"":""1""},""period"":{""value"":6,""quality"":""1""}}]","[-30.7,21.9]",Point,2,0,"[{""condition"":""02"",""quality"":""1""}]",1,1016.2,V020,,,"[""AG1"",""AY1"",""GF1"",""MD1"",""MW1""]",N,,,,,,,,,x+21900-030700,1984-03-12T12:00:00.000Z,FM-13,,,,,,,,N
5553a99ae4b02cf715120af9,1,2.3,,,,,,GQUR,4,1,1.5,9999,"[{""atmosphericCondition"":{""value"":""2"",""quality"":""1""},""period"":{""value"":6,""quality"":""1""}}]","[6.4,55.8]",Point,1,0,"[{""condition"":""00"",""quality"":""1""}]",1,1030.6,V020,9,3.8,"[""AG1"",""AY1"",""GF1"",""MD1"",""MW1"",""SA1"",""UA1""]",N,,,,,,,,,x+55800+006400,1984-03-13T00:00:00.000Z,FM-13,,,M,,,,,N
5553a99ae4b02cf715120afa,1,7,,,,,,HZLA,4,9,999.9,9999,"[{""atmosphericCondition"":{""value"":""0"",""quality"":""1""},""period"":{""value"":6,""quality"":""1""}}]","[0.2,50.4]",Point,2,0,"[{""condition"":""02"",""quality"":""1""}]",1,1022,V020,,,"[""AG1"",""AY1"",""GF1"",""MD1"",""MW1""]",N,,,,,,,,,x+50400+000200,1984-03-12T12:00:00.000Z,FM-13,,,,,,,,N
5553a99ae4b02cf715120afb,1,8.5,,,,,,PLAT,4,1,0.9,9999,"[{""atmosphericCondition"":{""value"":""0"",""quality"":""1""},""period"":{""value"":6,""quality"":""1""}}]","[1.8,61.2]",Point,1,0,"[{""condition"":""02"",""quality"":""1""}]",1,1039.7,V020,9,7.2,"[""AG1"",""AY1"",""GF1"",""MD1"",""MW1"",""SA1"",""UA1""]",N,,,,,,,,,x+61200+001800,1984-03-13T00:00:00.000Z,FM-13,,,I,,,,,N
5553a99ae4b02cf715120afc,1,29,,,,,,ATJW,4,9,999.9,9999,"[{""atmosphericCondition"":{""value"":""0"",""quality"":""1""},""period"":{""value"":6,""quality"":""1""}}]","[71.5,14.9]",Point,1,0,"[{""condition"":""02"",""quality"":""1""}]",1,1009.1,V020,,,"[""AG1"",""AY1"",""GF1"",""MW1""]",N,,,,,,,,,x+14900+071500,1984-03-12T12:00:00.000Z,FM-13,,,,,,,,C
5553a99ae4b02cf715120afd,9,999.9,,,,,,VCWK,4,9,999.9,9999,"[{""atmosphericCondition"":{""value"":""7"",""quality"":""1""},""period"":{""value"":6,""quality"":""1""}}]","[-9.9,47.1]",Point,2,2,"[{""condition"":""27"",""quality"":""1""}]",9,9999.9,V020,,,"[""AG1"",""AY1"",""GF1"",""MW1""]",N,,,,,,,,,x+47100-009900,1984-03-12T12:00:00.000Z,FM-13,,,,,,,,N
5553a99ae4b02cf715120afe,1,27.2,,,,,,EWSZ,4,9,999.9,9999,"[{""atmosphericCondition"":{""value"":""0"",""quality"":""1""},""period"":{""value"":6,""quality"":""1""}}]","[-29.9,-13.3]",Point,0,999,"[{""condition"":""02"",""quality"":""1""}]",1,1013.8,V020,9,29.5,"[""AG1"",""AY1"",""GF1"",""MD1"",""MW1"",""SA1"",""UA1""]",N,,,,,,,,,x-13300-029900,1984-03-13T00:00:00.000Z,FM-13,,,M,,,,,9
5553a99ae4b02cf715120aff,1,15,,,,,,9KKS,4,9,999.9,9999,"[{""atmosphericCondition"":{""value"":""1"",""quality"":""1""},""period"":{""value"":6,""quality"":""1""}}]","[126,-36.4]",Point,0,999,"[{""condition"":""03"",""quality"":""1""}]",1,1013.6,V020,,,"[""AG1"",""AY1"",""GF1"",""MW1""]",N,,,,,,,,,x-36400+126000,1984-03-12T12:00:00.000Z,FM-13,,,,,,,,N
5553a99ae4b02cf715120b00,1,21,,,,,,USMV,4,9,999.9,9999,"[{""atmosphericCondition"":{""value"":""0"",""quality"":""1""},""period"":{""value"":6,""quality"":""1""}}]","[-84.1,-36.5]",Point,0,999,"[{""condition"":""02"",""quality"":""1""}]",1,1022.3,V020,9,18.5,"[""AG1"",""AY1"",""GF1"",""MD1"",""MW1"",""SA1"",""UA1""]",N,,,,,,,,,x-36500-084100,1984-03-13T00:00:00.000Z,FM-13,,,M,,,,,N
